epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6231873035430908,0.0010000000474974513,0.6507158875465393,0.8051636219024658,0.4260707497596741
1,0.8510240912437439,0.0010000000474974513,0.32531893253326416,0.892524778842926,0.2891445755958557
2,0.8858574032783508,0.0010000000474974513,0.2706386148929596,0.8919243216514587,0.3004286289215088
3,0.9032740592956543,0.0010000000474974513,0.23912781476974487,0.8820174336433411,0.31617680191993713
4,0.905516505241394,0.0010000000474974513,0.22824645042419434,0.868507981300354,0.3677244186401367
5,0.925399899482727,0.00010000000474974513,0.1891055703163147,0.8829180598258972,0.36397314071655273
6,0.9313798546791077,0.00010000000474974513,0.17620794475078583,0.8835184574127197,0.3598460853099823
7,0.9306323528289795,0.00010000000474974513,0.1744719296693802,0.8847193121910095,0.3602166771888733
8,0.9339213371276855,1.0000000656873453e-05,0.17034794390201569,0.8832182288169861,0.3581865131855011
9,0.9344446063041687,1.0000000656873453e-05,0.16954155266284943,0.8838186860084534,0.36064794659614563
10,0.933099091053009,1.0000000656873453e-05,0.16839545965194702,0.8826178312301636,0.363014280796051
11,0.93571537733078,1.0000001111620804e-06,0.16719424724578857,0.8823176026344299,0.3627398610115051
12,0.9337718486785889,1.0000001111620804e-06,0.16758769750595093,0.8829180598258972,0.3626440465450287
13,0.9351921081542969,1.0000001111620804e-06,0.16716673970222473,0.8829180598258972,0.36315619945526123
14,0.9351173639297485,1.000000082740371e-07,0.16987372934818268,0.8829180598258972,0.363064706325531
15,0.9332486391067505,1.000000082740371e-07,0.16882099211215973,0.8829180598258972,0.3629494607448578
16,0.9352668523788452,1.000000082740371e-07,0.16746440529823303,0.8829180598258972,0.3628635108470917
17,0.934519350528717,1.000000082740371e-08,0.16966433823108673,0.8829180598258972,0.3628605306148529
18,0.9325758814811707,1.000000082740371e-08,0.16648994386196136,0.8829180598258972,0.3628546893596649
19,0.9332486391067505,1.000000082740371e-08,0.16816653311252594,0.8829180598258972,0.36284932494163513
